"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Если создать курьера без логина, то вернется ошибка от сервера","3816","Создание курьера без логина","","2026-05-31","passed","2026-05-31","","CreateCourierTest","CreateCourierTest","testCreateCourierWithoutLogin"
"Должно возвращаться сообщение об ошибке","307","Запрос на авторизацию курьера без логина","","2026-05-31","passed","2026-05-31","","LoginCourierTest","LoginCourierTest","courierAuthorizationWithoutLogin"
"Проверяем, что в тело ответа возвращается список заказов","15387","Получение списка заказов","","2026-05-31","passed","2026-05-31","","ListOrdersTest","ListOrdersTest","getOrderListReturnsOrders"
"Нужно сначала посмотреть значение ключа id, чтобы проверить, корректно ли сервер отображает это значение","808","Получение ID курьера","","2026-05-31","passed","2026-05-31","","LoginCourierTest","LoginCourierTest","testLoginCourierSuccess"
"Запрос с повторяющимся логином вернет ошибку","394","Нельзя создать двух одинаковых курьеров","","2026-05-31","failed","2026-05-31","","CreateCourierTest","CreateCourierTest","testCreateCourierReplayLogin"
"Система вернет ошибку","264","Неправильное указание пароля при авторизации курьера","","2026-05-31","passed","2026-05-31","","LoginCourierTest","LoginCourierTest","courierAuthorizationInvalidePassword"
"Курьер будет создан с тремя валидными полями","305","Успешное создание курьера","","2026-05-31","failed","2026-05-31","","CreateCourierTest","CreateCourierTest","testCreateCourierSuccess"
"Система вернет ошибку","309","Неправильное указание логина при авторизации курьера","","2026-05-31","passed","2026-05-31","","LoginCourierTest","LoginCourierTest","courierAuthorizationInvalideLogin"
"Сверяем корректное отображение значения ключа id, а также в целом весь ответ от сервера","349","Проверка на корректное отображение тела ответа при авторизации курьера","","2026-05-31","failed","2026-05-31","","LoginCourierTest","LoginCourierTest","getResponseBodyLoginCourier"
"Если создать курьера без пароля, то вернется ошибка от сервера","342","Создание курьера без пароля","","2026-05-31","passed","2026-05-31","","CreateCourierTest","CreateCourierTest","testCreateCourierWithoutPassword"
"Должно возвращаться сообщение об ошибке","60311","Запрос на авторизацию курьера без пароля","","2026-05-31","failed","2026-05-31","","LoginCourierTest","LoginCourierTest","courierAuthorizationWithoutPassword"
"Система вернет ошибку","352","Неправильное указание пароля и логина при авторизации курьера","","2026-05-31","passed","2026-05-31","","LoginCourierTest","LoginCourierTest","courierAuthorizationInvalideLoginAndPassword"
